Genus	ES_Bact	ES_Bifi	ES_Esch	ES_Prev	ES_Firm
Bacteria;Firmicutes_A;Clostridia;Oscillospirales;Acutalibacteraceae;UMGS1397	6.147846576816897e-16	0	0	2.5824438573976737e-6	3.9567543736352204e-4
Bacteria;Firmicutes_A;Clostridia;Oscillospirales;Acutalibacteraceae;CAG-177	3.5897325959442817e-16	0	0	0.34557134915090554	0.17891591873113202
Bacteria;Firmicutes_A;Clostridia;Oscillospirales;Acutalibacteraceae;CAG-488	0	0	0	0.07693394187876422	0
Bacteria;Firmicutes_A;Clostridia;Oscillospirales;Acutalibacteraceae;CAG-180	0.0022707987079270916	0	0	0.250048048981083	0.4425846808717031
Bacteria;Firmicutes_A;Clostridia;Oscillospirales;Acutalibacteraceae;Eubacterium_R	5.757748074420013e-4	0	0	0.07696591540334936	0.3325988799637332
Bacteria;Firmicutes_A;Clostridia;Oscillospirales;Acutalibacteraceae;CAG-217	2.596417705452888e-5	1.9657641603846875e-6	0	0.021144233622626726	0.23282061743881732
Bacteria;Firmicutes_A;Clostridia;Oscillospirales;Acutalibacteraceae;UMGS905	0	1.4028285657547983e-4	0	9.268254903055921e-4	0.0016197967442886962
Bacteria;Firmicutes_A;Clostridia;Oscillospirales;Acutalibacteraceae;UBA737	4.975694137541064e-6	0	6.897250070430351e-12	0.011979750431110032	0.011013690623333038
Bacteria;Firmicutes_A;Clostridia;Oscillospirales;Acutalibacteraceae;UMGS172	0	0	0	1.5358970086516712e-5	0.0017859360979971136
Bacteria;Firmicutes_A;Clostridia;Oscillospirales;Acutalibacteraceae;UMGS577	0	0	0	3.1570982279038515e-5	2.0551379527331248e-4
Bacteria;Firmicutes_A;Clostridia;Oscillospirales;Acutalibacteraceae;UMGS1484	0	0	0	5.257108702929903e-4	6.722743180107334e-4
Bacteria;Firmicutes_A;Clostridia;Oscillospirales;Ruminococcaceae;Ruminococcus	0.0010543849065920254	3.495707037619209e-16	0	0.03796367660412759	1.9815667685405318
Bacteria;Firmicutes_A;Clostridia;Oscillospirales;Ruminococcaceae;UMGS363	0	0	0	0.00789173359748632	0.0010052021813462266
Bacteria;Firmicutes_A;Clostridia;Oscillospirales;Ruminococcaceae;CAG-353	0.016520979538865235	0	0	0.020562344516553616	0.09545955798364834
Bacteria;Firmicutes_A;Clostridia;Oscillospirales;Ruminococcaceae;CAG-115	0.002377274470680505	4.3225293848400546e-14	0	0.03003958171379919	0.10561714380660132
Bacteria;Firmicutes_A;Clostridia;Oscillospirales;Ruminococcaceae;Ruminiclostridium_E	6.069017643012641e-5	0	0	0.09834858642435156	1.0279107980716815
Bacteria;Firmicutes_A;Clostridia;Oscillospirales;Ruminococcaceae;Massilimaliae	0	5.5520818587127773e-5	0	0	7.047216933817465e-5
Bacteria;Firmicutes_A;Clostridia;Oscillospirales;Ruminococcaceae;UMGS1826	0	0	0	0.0018189011978788797	7.365620854220025e-4
Bacteria;Firmicutes_A;Clostridia;Oscillospirales;Ruminococcaceae;Massilioclostridium	8.10693846924809e-5	0	0	0	0
Bacteria;Firmicutes_A;Clostridia;Oscillospirales;Ruminococcaceae;Angelakisella	2.390768629657926e-6	0	0	0.07443944939477222	0.06127793023690516
Bacteria;Firmicutes_A;Clostridia;Oscillospirales;Ruminococcaceae;Anaerotruncus	4.5983577750045434e-4	2.948127110941445e-11	2.104761943889541e-5	0	2.6637822650633366e-4
Bacteria;Firmicutes_A;Clostridia;Oscillospirales;Ruminococcaceae;Harryflintia	7.338758258067493e-5	0	0	0	0
Bacteria;Firmicutes_A;Clostridia;Oscillospirales;Ruminococcaceae;Negativibacillus	1.6967322206440495e-6	0	0	0.006927486869401625	0.0226153252031013
Bacteria;Firmicutes_A;Clostridia;Oscillospirales;Ruminococcaceae;UBA3818	5.275789993373812e-5	0	0	8.965181996490911e-4	0.003719840270661683
Bacteria;Firmicutes_A;Clostridia;Oscillospirales;Ruminococcaceae;Bittarella	9.216622776461843e-6	0	0	0	1.544808063742682e-4
Bacteria;Firmicutes_A;Clostridia;Oscillospirales;Ruminococcaceae;Faecalibacterium	0.9120746299195795	1.661632622261358e-4	0	0.45520504396039346	3.1157833460682998
Bacteria;Firmicutes_A;Clostridia;Oscillospirales;Ruminococcaceae;Gemmiger	0.005671721608864432	3.8336658114106885e-5	0	0.021430092820081386	0.9348231189822888
Bacteria;Firmicutes_A;Clostridia;Oscillospirales;Ruminococcaceae;Ruthenibacterium	0.013712363038643661	0.011514611091284262	4.14015808923831e-10	0	0.03480208705844575
Bacteria;Firmicutes_A;Clostridia;Oscillospirales;Oscillospiraceae;CAG-83	4.1588166718841185e-6	0	0	0.2670350950392904	0.7216386856467344
Bacteria;Firmicutes_A;Clostridia;Oscillospirales;Oscillospiraceae;Oscillibacter	0.056962825023547235	0	0	0.042014595950842074	0.14421317105196899
Bacteria;Firmicutes_A;Clostridia;Oscillospirales;Oscillospiraceae;UMGS1872	7.83024572907755e-5	0	2.473540060407868e-4	0	0
Bacteria;Firmicutes_A;Clostridia;Oscillospirales;Oscillospiraceae;Flavonifractor	0.051172074638136944	0.049039154962202125	0.025071918071601397	0	0.013558723215215427
Bacteria;Firmicutes_A;Clostridia;Oscillospirales;Oscillospiraceae;Pseudoflavonifractor	5.50039351152943e-4	0	0	1.173915187276865e-6	6.376139375416565e-4
Bacteria;Firmicutes_A;Clostridia;Oscillospirales;Oscillospiraceae;Intestinimonas	0.005763051368047321	5.0656041543847235e-07	3.252317654508019e-4	3.5774744671028183e-4	0.0059582779116531875
Bacteria;Firmicutes_A;Clostridia;Oscillospirales;Oscillospiraceae;UBA9475	9.317402503390362e-4	0	0	1.7293847888318203e-4	0.002605243390866701
Bacteria;Firmicutes_A;Clostridia;Oscillospirales;Oscillospiraceae;Lawsonibacter	0.02564431531307161	2.710800682917674e-12	0	0.002937552726403872	0.03073518793869753
Bacteria;Firmicutes_A;Clostridia;Oscillospirales;Oscillospiraceae;Evtepia	8.125828195892418e-6	2.95885302257544e-9	0	6.946308877757411e-4	0.02568642039342381
Bacteria;Firmicutes_A;Clostridia;Oscillospirales;Oscillospiraceae;CAG-110	7.973498836964812e-7	0	0	0.06492917943260675	0.185393066695838
Bacteria;Firmicutes_A;Clostridia;Oscillospirales;Oscillospiraceae;CAG-170	1.8704387923833451e-6	0	0	0.0927534209254484	0.0938252474453925
Bacteria;Firmicutes_A;Clostridia;Oscillospirales;Oscillospiraceae;UBA1777	0	0	0	0.04520386224705193	0.022943972265814898
Bacteria;Firmicutes_A;Clostridia;Oscillospirales;Oscillospiraceae;UBA5446	5.192307076317588e-8	0	0	6.689987435972731e-7	0.03310329755100342
Bacteria;Firmicutes_A;Clostridia;Oscillospirales;Butyricicoccaceae;Agathobaculum	1.1581743351552668e-4	2.856198269046967e-4	0	0.020096643694013726	0.0802270604367789
Bacteria;Firmicutes_A;Clostridia;Oscillospirales;Butyricicoccaceae;Butyricicoccus	3.4149168082219613e-6	0	0	0.00482435145036384	0.011102022075538138
Bacteria;Firmicutes_A;Clostridia;Oscillospirales;Butyricicoccaceae;UMGS1384	1.0672944748595841e-9	0	0	0	1.568162598901814e-4
Bacteria;Firmicutes_A;Clostridia;Oscillospirales;Butyricicoccaceae;AM07-15	1.2893857141141567e-13	0	0	5.837674258211778e-4	7.711832599828014e-4
Bacteria;Firmicutes_A;Clostridia;Oscillospirales;CAG-272;CAG-448	0	0	0	0.019953782919239164	0.008367007646542092
Bacteria;Firmicutes_A;Clostridia;Oscillospirales;CAG-272;UMGS1865	3.3159627627955574e-5	0	0	0.004649961321791298	0.0011987446887219938
Bacteria;Firmicutes_A;Clostridia;Oscillospirales;CAG-272;CAG-390	0	0	0	0.014887014696588721	3.9076742984652045e-4
Bacteria;Firmicutes_A;Clostridia;Oscillospirales;CAG-272;UMGS1815	0	0	0	0.002919722963319992	0.003285532715487086
Bacteria;Firmicutes_A;Clostridia;Oscillospirales;CAG-272;UMGS1696	0	0	0	0.002105046695680146	0.002404193807684012
Bacteria;Firmicutes_A;Clostridia;Oscillospirales;CAG-272;UMGS902	0	0	0	0.001526010939145475	0.002828024246028725
Bacteria;Firmicutes_A;Clostridia;Oscillospirales;CAG-272;UMGS874	0	0	0	8.116631190968812e-4	0.0010065725485124215
Bacteria;Firmicutes_A;Clostridia;Oscillospirales;CAG-272;UBA11512	0	0	0	0.005840910990673726	4.034751924717161e-4
Bacteria;Firmicutes_A;Clostridia;Oscillospirales;CAG-272;UMGS911	7.48878840554139e-12	0	0	3.204060497868524e-4	0.004455312450893231
Bacteria;Firmicutes_A;Clostridia;Oscillospirales;CAG-272;CAG-272	0	0	0	0.0022225347543999587	0.0011206258189595903
Bacteria;Firmicutes_A;Clostridia;Oscillospirales;CAG-272;QALR01	0	0	0	0.011543270217205824	0
Bacteria;Firmicutes_A;Clostridia;Oscillospirales;CAG-272;UMGS731	0	0	0	0.005351824798710167	0
Bacteria;Firmicutes_A;Clostridia;Oscillospirales;CAG-272;CAG-724	0	0	0	0.020049416288749324	0
